model,term,coefficient,std_error,t_value,p_value
M5_efficiency_fe,C(industry)[T.环保],-5.379261263410495,2.774087562780664,-1.9391101187946933,0.052487930835265845
M5_efficiency_fe,C(industry)[T.电力设备],13.381816477329883,3.879519722289062,3.449348742950612,0.0005619404499853152
M5_efficiency_fe,C(industry)[T.电子],0.7867757961655553,7.114568867400184,0.11058657394837476,0.9119441946150973
M5_efficiency_fe,C(industry)[T.石油石化],3.2347685621520905,2.3627662194937304,1.3690599329988744,0.17098054139090502
M5_efficiency_fe,C(industry)[T.社会服务],-17.889817316619148,8.83403412188032,-2.025101677195164,0.04285692473298056
M5_efficiency_fe,C(industry)[T.纺织服饰],27.802514325576162,4.944860843810059,5.622506922591997,1.8820602279580763e-08
M5_efficiency_fe,C(industry)[T.综合],-34.536609635239465,4.357251823879847,-7.926236772904,2.2588671388803095e-15
M5_efficiency_fe,C(industry)[T.美容护理],135.40474329154242,11.050071711521733,12.25374339881958,1.6041664527652741e-34
M5_efficiency_fe,C(industry)[T.计算机],-14.253751508760008,9.239984344531697,-1.5426164133270963,0.1229238732645972
M5_efficiency_fe,C(industry)[T.轻工制造],26.8454514032641,5.0039640340982166,5.364837001291921,8.102235275731392e-08
M5_efficiency_fe,C(industry)[T.通信],17.19305058185497,4.581972081409689,3.752325478283001,0.00017520179436707976
M5_efficiency_fe,C(industry)[T.钢铁],9.58268788023816,3.048861699914042,3.1430379018203185,0.0016720418808566198
M5_efficiency_fe,C(industry)[T.银行],170.61998739698652,25.846296382045534,6.601332155097854,4.074794314590391e-11
M5_efficiency_fe,C(industry)[T.非银金融],31.856293767149424,5.714491883894759,5.574650277644197,2.4802761996865092e-08
M5_efficiency_fe,C(industry)[T.食品饮料],17.996594951196066,8.930097176798146,2.015274256808108,0.04387592071620857
M5_efficiency_fe,log_market_cap,52.6448767325435,6.829839019350284,7.708069924252996,1.2773476061142488e-14
M5_efficiency_fe,log_assets,-67.48943141223445,8.320140340914577,-8.111573681077571,4.996834628940212e-16
M5_efficiency_fe,is_csi500,9.959901109488609,4.8432072457140105,2.056468080795553,0.03973741989385687
M6_firm_year_fe,Intercept,-10.282947118297606,1.4000943730219815,-7.344467141956126,2.0658043302079499e-13
M6_firm_year_fe,C(ticker)[T.000002.SZ],-0.4172692561380923,0.573476764022133,-0.7276131873443926,0.4668504057119436
M6_firm_year_fe,C(ticker)[T.000006.SZ],0.23586696198077267,0.5788861338039748,0.4074496661905588,0.6836777553099194
M6_firm_year_fe,C(ticker)[T.000009.SZ],-0.634437053805291,0.2906598500760787,-2.1827474748893954,0.029054411667529183
M6_firm_year_fe,C(ticker)[T.000012.SZ],-0.35416126133277925,0.3126429933074414,-1.1327976923011045,0.2572992207900632
M6_firm_year_fe,C(ticker)[T.000021.SZ],-0.41217126189575376,0.31322892218960163,-1.315878683917512,0.18821476431803896
M6_firm_year_fe,C(ticker)[T.000024.SZ],0.12269517947260274,0.3134249442959577,0.39146590501343564,0.6954528857803661
M6_firm_year_fe,C(ticker)[T.000027.SZ],-0.4610746318802602,0.28186035425823647,-1.6358264825631708,0.1018759078364434
M6_firm_year_fe,C(ticker)[T.000028.SZ],1.1120597700406534,0.8151123914413568,1.3643023731662414,0.17247241931077595
M6_firm_year_fe,C(ticker)[T.000031.SZ],-0.5424410222519437,0.28408302268019664,-1.9094454048476903,0.056204658230277954
M6_firm_year_fe,C(ticker)[T.000039.SZ],-0.5388946121573763,0.28181099655035874,-1.9122554433786176,0.0558434378216191
M6_firm_year_fe,C(ticker)[T.000046.SZ],-0.6717156585111997,0.43456860845723166,-1.5457068123163964,0.12217539127668231
M6_firm_year_fe,C(ticker)[T.000050.SZ],-0.6935476684690335,0.5365624816576616,-1.2925757804130849,0.19615782071471333
M6_firm_year_fe,C(ticker)[T.000059.SZ],-0.3174103666010659,0.34635617899908727,-0.916427613673098,0.35944265759126004
M6_firm_year_fe,C(ticker)[T.000060.SZ],-0.4126922762508536,0.36041329131346445,-1.145052877342196,0.25218725399916
M6_firm_year_fe,C(ticker)[T.000061.SZ],-0.5446480439968928,0.36208539317141597,-1.5041977783927045,0.13253044962402255
M6_firm_year_fe,C(ticker)[T.000062.SZ],0.01059262078122199,0.3290999752842005,0.032186634994653324,0.9743232143872321
M6_firm_year_fe,C(ticker)[T.000063.SZ],-0.2499191695753101,0.2776339342045677,-0.9001751543496961,0.36802704606270753
M6_firm_year_fe,C(ticker)[T.000066.SZ],-0.7152474901772099,0.4643614500061317,-1.5402818002393723,0.12349167808898978
M6_firm_year_fe,C(ticker)[T.000069.SZ],-0.7899522183079691,0.42341233171517123,-1.8656807068136332,0.06208605051511278
M6_firm_year_fe,C(ticker)[T.000078.SZ],-0.318139444579706,0.30018651209563246,-1.059805926517958,0.28923290005673297
M6_firm_year_fe,C(ticker)[T.000088.SZ],-0.6240768215413891,0.31131906278165644,-2.0046212909843084,0.04500354873616925
